,importance
month,1403.0
roll_min_168,940.0
roll_max_168,599.0
roll_std_168,412.0
roll_mean_168,360.0
lag_168,312.0
lag_72,251.0
fourier_w_0,225.0
dew_point_2m_mean24,221.0
apparent_temperature_mean24,214.0
temperature_2m_mean24,193.0
lag_24,189.0
roll_min_24,169.0
lag_1,166.0
wind_speed_10m_mean24,156.0
hour,150.0
dow,146.0
cloudcover_mean24,131.0
relative_humidity_2m_mean24,128.0
roll_max_3,124.0
roll_max_24,121.0
fourier_d_1,108.0
dew_point_2m,92.0
roll_std_24,88.0
fourier_d_2,79.0
roll_mean_3,75.0
precipitation_mean24,73.0
fourier_w_1,71.0
lag_48,67.0
roll_mean_24,67.0
dew_point_2m_lag1,55.0
roll_min_3,53.0
wind_direction_10m,48.0
relative_humidity_2m_lag1,39.0
fourier_d_0,38.0
temperature_2m_lag1,33.0
temperature_2m,31.0
fourier_d_3,28.0
roll_std_3,26.0
apparent_temperature,21.0
apparent_temperature_lag1,18.0
relative_humidity_2m,17.0
fourier_w_3,15.0
is_weekend,15.0
fourier_w_5,12.0
wind_speed_10m,10.0
wind_speed_10m_lag1,10.0
fourier_d_4,5.0
fourier_w_2,5.0
cloudcover,1.0
precipitation_lag1,1.0
fourier_w_4,1.0
fourier_d_5,0.0
precipitation,0.0
cloudcover_lag1,0.0
weathercode,0.0
